wave,lumi
604.523,6589.81
604.723,6767.83
604.923,6789.11
605.123,6903.28
605.324,6866.51
605.524,7249.63
605.723,7195.45
605.923,7464.41
606.123,7568.9
606.323,7503.11
606.523,7822.38
606.723,7946.22
606.923,8205.5
607.123,8327.4
607.323,8147.45
607.523,8441.56
607.723,8499.61
607.922,8594.43
608.122,8873.06
608.322,8994.96
608.522,9192.33
608.721,9132.34
608.921,9401.3
609.121,9412.91
609.321,9674.13
609.52,9892.78
609.72,10045.64
609.92,10155.94
610.119,10208.18
610.319,10308.8
610.518,10479.07
610.718,10645.48
610.918,10885.41
611.117,11075.04
611.317,11214.36
611.516,11028.6
611.716,11599.41
611.915,11525.88
612.115,11798.71
612.314,12038.65
612.514,11845.15
612.713,12342.43
612.913,12410.16
613.112,12400.48
613.311,12524.32
613.511,12555.28
613.71,12868.74
613.909,13128.03
614.109,13122.22
614.308,13269.28
614.507,13694.97
614.707,13642.72
614.906,13795.59
615.105,13731.73
615.304,13871.05
615.503,14045.2
615.703,14381.88
615.902,14327.7
616.101,14735.97
616.3,14592.79
616.499,14784.35
616.698,14832.72
616.897,14975.91
617.097,15157.79
617.296,15291.31
617.495,15579.61
617.694,15627.99
617.893,15672.49
618.092,15806
618.291,15995.63
618.49,15982.09
618.689,16249.11
618.888,16446.47
619.086,16527.74
619.285,16692.21
619.484,16678.67
619.683,16936.02
619.882,17023.09
620.081,16908.93
620.28,16978.59
620.478,17266.9
620.677,17382.99
620.876,17636.47
621.075,17624.86
621.274,17562.94
621.472,17769.98
621.671,17773.85
621.87,17860.93
622.068,18156.98
622.267,18095.06
622.466,18145.37
622.664,18623.3
622.863,18704.57
623.061,18683.28
623.26,18536.23
623.459,18631.04
623.657,18663.93
623.856,18890.32
624.054,18737.46
624.253,18872.91
624.451,18930.96
624.65,19234.75
624.848,19041.25
625.047,19170.89
625.245,19432.11
625.443,19329.56
625.642,19228.94
625.84,19588.84
626.039,19480.48
626.237,19629.48
626.435,19470.81
626.634,19536.6
626.832,19693.33
627.03,19716.55
627.228,19627.54
627.427,19583.04
627.625,19693.33
627.823,20031.95
628.021,19753.31
628.219,19882.96
628.418,19871.35
628.616,19672.05
628.814,19627.54
629.012,19902.3
629.21,19596.58
629.408,19919.72
629.606,19675.92
629.804,19983.57
630.002,19822.97
630.2,19720.42
630.398,19621.74
630.596,19751.38
630.794,19759.12
630.992,19793.95
631.19,19805.56
631.388,19492.09
631.586,19383.74
631.784,19697.2
631.982,19586.91
632.18,19314.08
632.378,19424.37
632.575,19730.09
632.773,19395.35
632.971,19490.16
633.169,19060.6
633.367,19501.77
633.564,19364.39
633.762,19310.21
633.96,19147.67
634.157,19246.36
634.355,18925.15
634.553,18903.87
634.75,18950.31
634.948,18865.17
635.146,18905.8
635.343,18861.3
635.541,18836.14
635.738,18785.84
635.936,18658.13
636.134,18333.06
636.331,18718.11
636.529,18371.76
636.726,18590.41
636.924,17949.94
637.121,18275.01
637.318,18236.31
637.516,18042.81
637.713,17754.5
637.911,17928.65
638.108,17762.24
638.305,17723.55
638.503,17321.07
638.7,17735.16
638.897,17284.31
639.095,17394.6
639.292,17143.06
639.489,17479.74
639.687,17168.21
639.884,16914.73
640.081,16897.32
640.278,17034.7
640.475,16901.19
640.673,16547.09
640.87,16560.64
641.067,16523.87
641.264,16222.02
641.461,16463.89
641.658,16311.03
641.855,16204.61
642.052,16009.17
642.249,15974.35
642.446,15869.86
642.643,15856.31
642.84,15566.07
643.037,15411.27
643.234,15366.77
643.431,15179.08
643.628,15388.05
643.825,15130.71
644.022,15130.71
644.219,15109.42
644.416,14805.63
644.613,14523.13
644.809,14747.58
645.006,14770.8
645.203,14356.72
645.4,14403.16
645.597,14292.87
645.793,14095.5
645.99,14002.63
646.187,14016.17
646.383,13915.55
646.58,13994.89
646.777,13594.35
646.974,13725.93
647.17,13277.02
647.367,13273.15
647.563,13455.03
647.76,13217.03
647.957,13116.42
648.153,13073.85
648.35,13029.34
648.546,12876.48
648.743,12713.95
648.939,12454.66
649.136,12274.71
649.332,12555.28
649.529,12369.52
649.725,11959.31
649.921,11976.73
650.118,12131.52
650.314,11821.93
650.511,11709.7
650.707,11481.38
650.903,11607.15
651.1,11510.4
651.296,11301.43
651.492,11191.14
651.688,11293.69
651.885,10926.05
652.081,10908.63
652.277,10951.2
652.473,10688.05
652.67,10900.89
652.866,10577.76
653.062,10635.8
653.258,10602.91
653.454,10533.25
653.65,10233.33
653.846,10020.49
654.042,9987.59
654.238,10014.68
654.434,9914.07
654.631,9867.63
654.827,9861.82
655.023,9741.85
655.218,9662.52
655.414,9244.57
655.61,9534.81
655.806,9225.22
656.002,9300.68
656.198,9064.62
656.394,9296.82
656.59,9120.73
656.786,9031.73
656.982,8874.99
657.177,8768.57
657.373,8733.74
657.569,8693.11
657.765,8505.42
657.961,8488
658.156,8389.32
658.352,8337.08
658.548,8207.44
658.743,8219.04
658.939,8197.76
659.135,7952.02
659.33,8017.81
659.526,8050.7
659.722,7708.22
659.917,7824.31
660.113,7655.97
660.308,7673.39
660.504,7325.1
660.699,7503.11
660.895,7433.45
661.09,7232.22
661.286,7284.46
661.481,7090.97
661.677,7005.83
661.872,7029.05
662.068,6986.48
662.263,6822.01
662.458,6860.71
662.654,6845.23
662.849,6667.21
663.044,6607.23
663.24,6398.25
663.435,6398.25
663.63,6405.99
663.826,6506.61
664.021,6402.12
664.216,6251.2
664.411,6305.37
664.606,6193.15
664.802,6278.28
664.997,6059.63
665.192,6019
665.387,5926.12
665.582,5912.58
665.777,5850.66
665.972,5781
666.168,5639.75
666.363,5504.3
666.558,5502.37
666.753,5386.27
666.948,5421.1
667.143,5399.82
667.338,5312.74
667.533,5343.7
667.728,5080.55
667.922,5361.12
668.117,4958.65
668.312,5063.13
668.507,4958.65
668.702,5074.74
668.897,5012.82
669.092,4753.54
669.287,4914.14
669.481,4861.9
669.676,4815.46
669.871,4695.49
670.066,4697.43
670.26,4774.82
670.455,4643.25
670.65,4515.54
670.844,4548.43
671.039,4542.63
671.234,4380.09
671.428,4380.09
671.623,4366.55
671.818,4285.28
672.012,4190.47
672.207,4151.77
672.401,4283.35
672.596,4085.98
672.79,4169.18
672.985,3967.95
673.179,3956.34
673.374,3809.28
673.568,3985.36
673.763,3948.6
673.957,3735.75
674.152,3985.36
674.346,3811.22
674.54,3687.38
674.735,3706.73
674.929,3778.32
675.123,3714.47
675.318,3557.74
675.512,3491.95
675.706,3536.45
675.901,3462.92
676.095,3497.75
676.289,3406.81
676.483,3126.24
676.678,3393.27
676.872,3306.19
677.066,3377.79
677.26,3153.33
677.454,3161.07
677.648,3197.84
677.842,3296.52
678.036,3170.75
678.231,3081.74
678.425,3294.58
678.619,3118.5
678.813,3168.81
679.007,2961.77
679.201,2994.67
679.395,2942.42
679.589,2808.91
679.783,2884.37
679.976,2930.81
680.17,2828.26
